name,synth,flatten,extract_fa,abc_script,area,delay,module,type1,type2,bitwidth,const_v,is_const,adder_1_area,adder_2_area,adder_1_delay,adder_2_delay
n_2_input/adder_2_low_level_2_2.v,0,0,0,0,1.6767,112.31,2,adder,low,2,2,False,0.59778,0.59778,36.24,36.24
n_2_input/adder_2_low_level_2_2.v,0,0,0,1,1.72044,124.3,2,adder,low,2,2,False,0.64152,0.59778,38.66,36.24
n_2_input/adder_2_low_level_2_2.v,0,0,0,2,1.72044,123.8,2,adder,low,2,2,False,0.64152,0.59778,38.66,36.24
n_2_input/adder_2_low_level_2_2.v,0,0,0,3,1.77876,118.69,2,adder,low,2,2,False,0.64152,0.61236,39.39,35.37
n_2_input/adder_2_low_level_2_2.v,0,0,0,4,1.7496,108.73,2,adder,low,2,2,False,0.64152,0.61236,39.39,35.37
n_2_input/adder_2_low_level_2_2.v,0,0,0,5,1.9683,123.37,2,adder,low,2,2,False,0.729,0.71442,53.24,45.88
n_2_input/adder_2_low_level_2_2.v,0,0,0,6,1.6767,112.31,2,adder,low,2,2,False,0.64152,0.59778,38.66,36.24
n_2_input/adder_2_low_level_2_2.v,0,0,0,7,1.6767,112.31,2,adder,low,2,2,False,0.64152,0.59778,38.66,36.24
n_2_input/adder_2_low_level_2_2.v,0,0,1,0,1.10808,105.91,2,adder,low,2,2,False,0.33534,0.33534,39.12,37.1
n_2_input/adder_2_low_level_2_2.v,0,0,1,1,1.10808,108.85,2,adder,low,2,2,False,0.33534,0.33534,37.1,39.12
n_2_input/adder_2_low_level_2_2.v,0,0,1,2,1.10808,113.34,2,adder,low,2,2,False,0.33534,0.33534,37.1,41.99
n_2_input/adder_2_low_level_2_2.v,0,0,1,3,1.1664,103.43,2,adder,low,2,2,False,0.33534,0.33534,39.12,39.12
n_2_input/adder_2_low_level_2_2.v,0,0,1,4,1.1664,107.13,2,adder,low,2,2,False,0.33534,0.33534,39.12,39.12
n_2_input/adder_2_low_level_2_2.v,0,0,1,5,1.19556,110.37,2,adder,low,2,2,False,0.33534,0.33534,37.1,37.1
